TUMOUR,N40554,R00884,AA489861,T50661,AA055368,AA455094,AA599116,AA670107,AA458932,T71606,R48231,H59620,AA158258,N48302,W31688,AA487428,N55187,N20820,AA486332,T63362,W72596,AA430503,N33228,AA490996,AA055101,AA456654,AA504348,N80922,W69094,AA453749,AA045074,R31679,AA490462,AA018979,W67316,AA461091,N95761,AA608582,T68113,N23047,W53015,AA455225,R15791,AA490737,AA625890,W42451,AI668697,AA459407,AA461092,AA700419
1,0.525,-1.68,0.402,0.55,-0.977,0.514,-2.444,-1.817,-1.676,0.457,0.338,-1.612,-1.577,0.603,0.185,-1.25,1.056,0.444,-0.666,0.257,0.473,-1.626,2.163,-2.36,-0.628,0.861,-1.956,0.683,-0.712,-2.241,-0.501,4.867,1.906,0.693,0.78,2.055,1.639,-1.117,1.128,-0.348,0.066,0.316,0.464,-0.702,2.012,-0.307,0.545,-0.316,-1.029,0.709
2,0.835,-1.113,1.156,-0.518,-2.073,0.358,-2.154,-2.988,-1.501,0.053,-0.277,-1.712,-2.144,0.087,-0.429,-0.601,0.76,0.469,-0.202,0.679,-0.385,-0.63,3.06,-4.496,-0.749,1.033,-1.863,0.139,-0.493,-1.836,-0.615,4.127,1.21,0.876,-0.311,2.224,2.324,-1.483,2.256,-0.001,-0.219,-0.38,2.091,-0.429,1.759,-0.047,-0.036,-0.109,-1.234,0.656
2,0.766,-1.632,0.877,0.501,-2.25,0.509,-2.771,-2.696,-1.891,0.14,0.051,-2.137,-0.319,1.026,-0.17,-1.483,0.868,0.35,-1.1,0.224,-0.646,-2.309,1.977,-1.781,-0.691,1.031,-1.418,0.332,-0.371,-2.039,-1.123,3.813,1.46,1.037,1.176,1.679,1.688,-1.374,1.558,-0.483,-0.535,-0.568,0.159,-0.644,1.171,0.293,0.614,-0.108,-0.122,1.387
2,0.572,-1.829,0.882,0.538,-2.563,0.636,-2.423,-2.254,-1.368,0.13,-0.002,-1.077,-0.391,0.439,0.107,-1.012,0.765,1.315,-0.555,0.596,-0.294,-0.917,1.759,-2.645,-0.712,0.864,-1.209,0.601,-0.462,-1.879,-0.608,2.863,0.881,2.902,0.73,1.027,1.199,-1.559,1.725,0.045,-0.436,-0.593,-0.396,-0.265,3.794,0.536,0.134,0.104,0.365,1.804
1,0.649,-1.432,1.189,-0.313,-0.411,0.778,-2.295,-2.208,-1.582,-0.598,0.353,-1.518,-1.109,0.137,-0.39,-1.548,1.099,0.47,-0.305,0.579,0.721,-1.026,2.643,-1.854,-0.327,0.874,-2.115,0.516,-0.53,-1.815,-0.974,5.65,3.437,0.883,0.718,1.17,1.246,-1.45,0.901,-0.313,0.005,-0.308,1.15,-0.406,1.43,-0.293,-0.103,-0.781,-0.75,0.993
2,0.141,-1.151,0.793,-0.313,-3.139,0.423,-2.436,-1.818,-1.783,-0.174,0.01,0.923,-1.203,0.473,0.454,-1.481,1.213,0.702,-1.093,1.094,0.046,-0.859,1.687,-2.341,-0.787,1.171,-1.025,0.234,-0.38,-2.063,-1.192,2.869,3.019,0.685,0.956,-0.755,0.643,-0.872,1.988,-0.25,0.108,0.371,-0.781,-0.029,4.47,0.563,0.855,0.71,0.063,1.414
1,0.235,-0.937,0.924,-0.376,-0.207,0.727,-1.526,-2.774,-0.945,-0.305,0.341,-1.167,-0.619,0.111,-0.219,-0.32,1.18,-0.175,0.207,0.719,0.35,-1.225,2.052,-1.913,0.107,0.964,-1.989,0.906,-0.597,-1.42,-0.743,5.289,2.672,0.875,1,1.516,1.532,-1.696,1.03,-0.187,0.198,0.15,-0.36,-0.351,1.645,0.41,0.456,-0.402,-1.069,0.391
1,0.67,-1.636,1.037,0.062,-0.717,1.006,-1.917,-1.838,-1.454,-0.628,0.131,-1.787,-0.22,0.453,-0.311,-1.799,1.164,-0.404,-0.498,0.548,0.677,-1.345,1.541,-0.829,0.019,0.853,-1.573,0.979,-0.204,-1.156,-0.696,4.639,3.078,0.378,1.174,1.405,1.532,-1.552,0.579,0.194,0.674,0.269,0.469,-0.64,2.415,-0.156,0.43,-0.685,-0.617,-0.023
1,0.583,0.363,1.215,-0.315,-0.378,0.436,-2.043,-2.325,-1.322,-0.424,0.248,-0.391,-0.759,0.437,0.478,-0.066,1.675,0.23,-0.532,0.993,-0.112,-0.92,2.52,-2.532,0.272,1.166,-1.766,1.061,-0.177,-1.544,-0.652,4.514,0.443,1.72,1.194,1.568,1.932,-1.876,1.063,-0.272,-0.473,0.427,-0.426,-0.238,1.92,0.658,-0.231,0.039,-0.47,1.077
1,0.752,-1.021,1.244,0.164,0.048,0.804,-2.647,-2.399,-1.743,-0.18,0.583,-1.018,-0.839,0.328,0.172,-1.127,0.879,0.582,-0.486,0.807,0.484,-1.713,1.181,-1.145,-0.234,0.803,-1.387,0.549,-0.854,-1.92,-1.007,4.6,0.661,1.201,0.936,1.206,1.404,-1.365,0.859,-0.36,-0.293,0.023,1.304,-0.53,0.46,-0.366,0.277,-0.574,-0.12,1.337
